Date,Product,Category,Sales,Quantity,Region
2024-01-05,Laptop Pro,Electronics,1299.99,1,North
2024-01-07,T-Shirt,Clothing,29.99,3,South
2024-01-09,Coffee Maker,Kitchen,89.99,2,East
2024-01-10,Laptop Pro,Electronics,1299.99,1,West
2024-01-12,Running Shoes,Clothing,119.99,1,North
2024-01-14,Blender,Kitchen,49.99,1,South
2024-01-15,Headphones,Electronics,249.99,2,East
2024-01-17,Jeans,Clothing,59.99,2,West
2024-01-18,Toaster,Kitchen,34.99,1,North
2024-01-20,Smartphone,Electronics,899.99,1,South
2024-02-01,Monitor,Electronics,349.99,1,West
2024-02-03,Hoodie,Clothing,69.99,2,North
2024-02-05,Microwave,Kitchen,129.99,1,South
2024-02-07,Keyboard,Electronics,89.99,1,East
2024-02-09,Sneakers,Clothing,99.99,1,West
2024-02-11,Kettle,Kitchen,39.99,1,North
2024-02-13,Smartwatch,Electronics,299.99,1,South
2024-02-14,Scarf,Clothing,19.99,3,East
2024-02-22,Dishwasher,Kitchen,499.99,1,East
2024-02-24,Gaming Mouse,Electronics,59.99,1,West
